City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Winneba,GH,77.05,overcast clouds,5.3511,-0.6231,Windy Lodge & Beach Resort
4,Mutis,CO,76.42,light rain,6.2262,-77.4044,Paraiso Escondido
11,Kapaa,US,77.32,broken clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
12,Saint-Pierre,RE,80.28,clear sky,-21.3393,55.4781,Alize Plage
13,Vaini,TO,77.94,overcast clouds,-21.2,-175.2,Keleti Beach Resort
15,Bhimunipatnam,IN,80.11,overcast clouds,17.8833,83.4333,Bheemili Court
16,Kupang,ID,86.58,light rain,-10.1667,123.5833,Hotel On The Rock by Prasanthi
19,Kailua,US,78.78,clear sky,21.4022,-157.7394,Sheffield House Bed & Breakfast
22,Butaritari,KI,80.8,light rain,3.0707,172.7902,Isles Sunset Lodge
25,Hambantota,LK,84.63,clear sky,6.1241,81.1185,Bungalow 63
27,Along,IN,78.44,clear sky,28.1667,94.7667,Hotel West
31,Auki,SB,82.45,broken clouds,-8.7676,160.7034,Auki Motel
34,Doembang Nangbuat,TH,85.3,broken clouds,14.8333,100.1,ธาราริน วิลล่า
36,Bathsheba,BB,81.21,scattered clouds,13.2167,-59.5167,Atlantis Hotel
43,Ternate,ID,83.95,moderate rain,0.8,127.4,Sahid Bela Ternate Hotel
46,Mogok,MM,77.22,clear sky,22.9167,96.5,MOGOK HILL HOTEL
51,Souillac,MU,82.78,scattered clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
53,Poya,NC,81.25,broken clouds,-21.35,165.15,
58,Mahebourg,MU,82.69,scattered clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
61,Saint-Philippe,RE,80.19,few clouds,-21.3585,55.7679,Le four à pain
64,Itaituba,BR,78.48,overcast clouds,-4.2761,-55.9836,Hotel Campos
66,Port Blair,IN,87.84,scattered clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Port Blair - Premium Hotel Near the Airport | Idyllic Island Experience Vacation"
