City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Winneba,GH,5.3511,-0.6231,77.05,85,93,5.82,overcast clouds
1,Ojinaga,MX,29.5667,-104.4167,47.35,71,100,3.44,overcast clouds
2,Punta Arenas,CL,-53.15,-70.9167,46.51,66,40,14.97,scattered clouds
3,Talnakh,RU,69.4865,88.3972,-18.36,93,97,2.93,overcast clouds
4,Mutis,CO,6.2262,-77.4044,76.42,93,100,7.23,light rain
5,Avarua,CK,-21.2078,-159.775,73.45,68,75,11.5,broken clouds
6,Cherskiy,RU,68.75,161.3,-17.25,98,100,6.13,overcast clouds
7,Busselton,AU,-33.65,115.3333,74.77,38,0,9.73,clear sky
8,Kollegal,IN,12.15,77.1167,72.66,56,99,3.22,overcast clouds
9,Kaitangata,NZ,-46.2817,169.8464,58.87,95,100,5.26,overcast clouds
10,Rikitea,PF,-23.1203,-134.9692,68.7,84,100,13.38,overcast clouds
11,Kapaa,US,22.0752,-159.319,77.32,80,75,20.71,broken clouds
12,Saint-Pierre,RE,-21.3393,55.4781,80.28,65,0,11.5,clear sky
13,Vaini,TO,-21.2,-175.2,77.94,70,100,6.96,overcast clouds
14,Norman Wells,CA,65.282,-126.8329,19.44,93,100,5.75,overcast clouds
15,Bhimunipatnam,IN,17.8833,83.4333,80.11,49,92,12.28,overcast clouds
16,Kupang,ID,-10.1667,123.5833,86.58,79,75,6.91,light rain
17,New Norfolk,AU,-42.7826,147.0587,50.72,53,100,5.99,light rain
18,Marienburg,PL,54.0359,19.0266,30.85,95,76,8.28,broken clouds
19,Kailua,US,21.4022,-157.7394,78.78,76,7,3.0,clear sky
20,Barrow,US,71.2906,-156.7887,21.22,79,100,14.97,overcast clouds
21,Ribeira Grande,PT,38.5167,-28.7,64.78,95,92,4.0,overcast clouds
22,Butaritari,KI,3.0707,172.7902,80.8,80,12,12.01,light rain
23,Hilo,US,19.7297,-155.09,73.26,88,75,8.05,light rain
24,Mataura,NZ,-46.1927,168.8643,58.48,98,100,3.71,light rain
25,Hambantota,LK,6.1241,81.1185,84.63,53,3,7.47,clear sky
26,Cape Town,ZA,-33.9258,18.4232,68.38,67,0,9.22,clear sky
27,Along,IN,28.1667,94.7667,78.44,26,1,1.57,clear sky
28,Creston,US,41.0586,-94.3614,33.71,64,0,12.66,clear sky
29,Kysyl-Syr,RU,63.8986,122.7617,-23.06,100,92,1.54,overcast clouds
30,Ulladulla,AU,-35.35,150.4667,62.42,42,2,18.84,clear sky
31,Auki,SB,-8.7676,160.7034,82.45,75,59,3.94,broken clouds
32,Upernavik,GL,72.7868,-56.1549,11.23,93,100,19.26,overcast clouds
33,Sitka,US,57.0531,-135.33,48.09,71,100,14.97,moderate rain
34,Doembang Nangbuat,TH,14.8333,100.1,85.3,66,56,6.46,broken clouds
35,Castro,BR,-24.7911,-50.0119,58.71,97,92,3.98,overcast clouds
36,Bathsheba,BB,13.2167,-59.5167,81.21,74,40,21.85,scattered clouds
37,Sao Filipe,CV,14.8961,-24.4956,74.52,66,55,8.95,broken clouds
38,Sakakah,SA,29.9697,40.2064,58.57,48,0,3.51,clear sky
39,Yellowknife,CA,62.456,-114.3525,23.52,100,100,12.66,light snow
40,Lagoa,PT,39.05,-27.9833,63.77,89,93,1.86,overcast clouds
41,Ushuaia,AR,-54.8,-68.3,46.06,71,40,3.44,scattered clouds
42,Palmer,US,42.1584,-72.3287,26.15,58,75,12.66,broken clouds
43,Ternate,ID,0.8,127.4,83.95,76,90,5.41,moderate rain
44,Bahir Dar,ET,11.5936,37.3908,66.88,67,30,4.65,scattered clouds
45,Lavrentiya,RU,65.5833,-171.0,23.29,81,100,20.78,overcast clouds
46,Mogok,MM,22.9167,96.5,77.22,40,4,3.18,clear sky
47,Nikolskoye,RU,59.7035,30.7861,21.09,95,13,3.76,few clouds
48,Esik,KZ,43.3552,77.4525,45.82,69,61,2.73,broken clouds
49,Pangody,RU,65.85,74.4859,-0.6,95,100,14.34,light snow
50,Bradut,RO,46.1333,25.6167,40.24,97,100,3.38,light rain
51,Souillac,MU,-20.5167,57.5167,82.78,61,40,18.41,scattered clouds
52,Hobart,AU,-42.8794,147.3294,51.06,73,75,19.57,broken clouds
53,Poya,NC,-21.35,165.15,81.25,71,61,5.68,broken clouds
54,Knysna,ZA,-34.0363,23.0471,67.64,53,9,3.67,clear sky
55,Albany,US,42.6001,-73.9662,24.58,72,88,6.6,light snow
56,Dalbandin,PK,28.8947,64.4101,67.48,22,44,4.18,scattered clouds
57,Port Hardy,CA,50.6996,-127.4199,42.98,87,100,9.22,light rain
58,Mahebourg,MU,-20.4081,57.7,82.69,61,40,18.41,scattered clouds
59,Springbok,ZA,-29.6643,17.8865,72.18,23,0,1.14,clear sky
60,Panaba,MX,21.2833,-88.2667,73.13,93,90,5.26,overcast clouds
61,Saint-Philippe,RE,-21.3585,55.7679,80.19,58,11,11.5,few clouds
62,Yerbogachen,RU,61.2767,108.0108,7.16,88,100,9.19,overcast clouds
63,Port Elizabeth,ZA,-33.918,25.5701,69.31,79,20,6.91,few clouds
64,Itaituba,BR,-4.2761,-55.9836,78.48,69,100,2.24,overcast clouds
65,Guerrero Negro,MX,27.9769,-114.0611,61.3,64,17,3.76,few clouds
66,Port Blair,IN,11.6667,92.75,87.84,55,40,5.75,scattered clouds
67,Victoria,HK,22.2855,114.1577,79.97,77,100,11.99,heavy intensity rain
68,Cabo San Lucas,MX,22.8909,-109.9124,71.62,78,15,2.48,few clouds
69,Fort Nelson,CA,58.8053,-122.7002,17.94,93,75,2.3,broken clouds
70,Huarmey,PE,-10.0681,-78.1522,64.44,85,89,6.46,overcast clouds
71,Porto Santo,PT,33.072,-16.3415,64.78,72,40,4.61,scattered clouds
72,Chokurdakh,RU,70.6333,147.9167,-33.39,100,95,1.61,overcast clouds
73,Hermanus,ZA,-34.4187,19.2345,64.8,73,13,5.99,few clouds
74,Kargasok,RU,59.0556,80.8572,-9.45,91,48,6.6,scattered clouds
75,Hami,CN,42.8,93.45,48.58,27,47,3.91,scattered clouds
76,Khatanga,RU,71.9667,102.5,-34.33,100,59,3.98,broken clouds
77,Hithadhoo,MV,-0.6,73.0833,80.46,77,56,6.93,broken clouds
78,Nome,US,64.5011,-165.4064,30.27,86,100,0.0,light snow
79,Daru,PG,-9.0763,143.2092,85.26,68,79,8.59,broken clouds
80,Mar Del Plata,AR,-38.0023,-57.5575,60.1,98,100,12.66,light intensity drizzle
81,Chernyshevskiy,RU,63.0128,112.4714,-8.1,97,75,2.62,broken clouds
82,Tuatapere,NZ,-46.1333,167.6833,55.94,99,100,6.08,light rain
83,Qaanaaq,GL,77.484,-69.3632,-14.21,82,8,6.11,clear sky
84,Bubaque,GW,11.2833,-15.8333,82.02,53,79,9.22,broken clouds
85,Carnarvon,AU,-24.8667,113.6333,81.39,40,0,19.04,clear sky
86,Cabedelo,BR,-6.9811,-34.8339,74.07,74,92,11.45,overcast clouds
87,Nandyal,IN,15.4833,78.4833,71.56,73,100,4.79,overcast clouds
88,Asau,RO,46.4333,26.4,31.28,99,100,4.7,snow
89,Portland,US,45.5234,-122.6762,42.21,63,0,8.05,clear sky
90,Kingaroy,AU,-26.5333,151.8333,86.88,20,97,14.12,overcast clouds
